6´eren	6'eren
DR 1	DR Synstolkning
Kanal Syd	Syd
The Voice TV	Voice Tv
TV2 Film	TV 2 Film
TV2 Film HD	TV 2 Film HD
TV2 Zulu	TV 2 Zulu
TV2 Charlie	TV 2 Charlie
TV2 News	TV 2 News
TV2 Sport	TV 2 Sport
TV2 Sport HD	TV 2 Sport HD
TV2 Østjylland	TV Østjylland
TV2 HD	TV2 Fyn HD
TV2 HD	TV2 Lorry HD
TV2 HD	TV2 Syd HD
TV2 HD	TV2 Nord HD	
TV2 HD	TV2 Østjylland HD
TV2 Norge	TV 2 Norge
TV2 Norge HD	TV 2 Norge HD
Folketinget	Folketings-TV
TV3+	3+
TV3 Puls	TV 3 Puls
NRK 1	NRK1
NRK 2	NRK2
ARD	ARD (Das Erste)
ARD HD	Das Erste HD
National Geographic Channel	National Geographic
NDR	N3 (NDR)
Sat.1	Sat1
SVT1	Sverige 1
SVT2	Sverige 2
TLC	TLC Danmark
TV5	TV 5 Monde Europe
TVE International	TVE Internacional
Viasat Nature+Crime	Nature_Crime_Playboy
VH1 Classic	VH1 Classic Europe
